"Subject","Chapter","Topic"
"Mathematical Foundations","Calculus","Chain rule (scalar and multivariable)"
"Mathematical Foundations","Calculus","Vector calculus (divergence, curl, line/surface integrals)"
"Mathematical Foundations","Calculus","Taylor series and Taylor expansions"
"Mathematical Foundations","Calculus","Implicit function theorem"
"Mathematical Foundations","Calculus","Inverse function theorem"
"Mathematical Foundations","Calculus","Lagrange multipliers"
"Mathematical Foundations","Calculus","Variational calculus"
"Mathematical Foundations","Calculus","Backpropagation as reverse-mode automatic differentiation"
"Mathematical Foundations","Calculus","Forward-mode and reverse-mode autodiff"
"Mathematical Foundations","Calculus","Differentiation through optimization (implicit differentiation)"
"Mathematical Foundations","Probability Theory","Sample spaces, events, sigma-algebras"
"Mathematical Foundations","Probability Theory","Axioms of probability"
"Mathematical Foundations","Probability Theory","Conditional probability and independence"
"Mathematical Foundations","Probability Theory","Bayes' theorem"
"Mathematical Foundations","Probability Theory","Random variables (discrete, continuous)"
"Mathematical Foundations","Probability Theory","Probability mass functions and density functions"
"Mathematical Foundations","Probability Theory","Cumulative distribution functions"
"Mathematical Foundations","Probability Theory","Joint, marginal, and conditional distributions"
"Mathematical Foundations","Probability Theory","Expectation, variance, covariance, correlation"
"Mathematical Foundations","Probability Theory","Moments and moment-generating functions"
"Mathematical Foundations","Probability Theory","Characteristic functions"
"Mathematical Foundations","Probability Theory","Common distributions (Bernoulli, binomial, Poisson, Gaussian, multivariate Gaussian, exponential, Beta, Dirichlet, Gamma, Categorical, Multinomial, Laplace, Cauchy, Student-t)"
"Mathematical Foundations","Probability Theory","Mixture models"
"Mathematical Foundations","Probability Theory","Exponential family"
"Mathematical Foundations","Probability Theory","Conjugate priors"
"Mathematical Foundations","Probability Theory","Maximum Likelihood Estimation (MLE)"
"Mathematical Foundations","Probability Theory","Maximum A Posteriori (MAP) estimation"
"Mathematical Foundations","Probability Theory","Bayesian inference"
"Mathematical Foundations","Probability Theory","Law of large numbers"
"Mathematical Foundations","Probability Theory","Central limit theorem"
"Mathematical Foundations","Probability Theory","Concentration inequalities (Markov, Chebyshev, Hoeffding, Chernoff)"
"Mathematical Foundations","Probability Theory","Importance sampling, rejection sampling"
"Mathematical Foundations","Probability Theory","Change of variables in probability"
"Mathematical Foundations","Statistics","Descriptive statistics"
"Mathematical Foundations","Statistics","Sampling theory and sampling distributions"
"Mathematical Foundations","Statistics","Point estimation and interval estimation"
"Mathematical Foundations","Statistics","Confidence intervals"
"Mathematical Foundations","Statistics","Hypothesis testing (t-test, z-test, chi-squared, ANOVA, F-test)"
"Mathematical Foundations","Statistics","p-values, type I/II errors, statistical power"
"Mathematical Foundations","Statistics","Multiple testing correction (Bonferroni, FDR)"
"Mathematical Foundations","Statistics","Nonparametric tests (Mann-Whitney, Wilcoxon, Kruskal-Wallis)"
"Mathematical Foundations","Statistics","Bootstrap and resampling"
"Mathematical Foundations","Statistics","Bayesian statistics"
"Mathematical Foundations","Statistics","Linear regression theory"
"Mathematical Foundations","Statistics","Generalized linear models"
"Mathematical Foundations","Statistics","Bias-variance decomposition"
"Mathematical Foundations","Statistics","Cross-validation theory"
"Mathematical Foundations","Statistics","Order statistics"
"Mathematical Foundations","Statistics","Robust statistics"
"Mathematical Foundations","Information Theory","Self-information and Shannon entropy"
"Mathematical Foundations","Information Theory","Joint, conditional, and differential entropy"
"Mathematical Foundations","Information Theory","Cross-entropy"
"Mathematical Foundations","Information Theory","Kullback-Leibler (KL) divergence"
"Mathematical Foundations","Information Theory","Jensen-Shannon divergence"
"Mathematical Foundations","Information Theory","Mutual information and pointwise mutual information"
"Mathematical Foundations","Information Theory","f-divergences and Wasserstein distance"
"Mathematical Foundations","Information Theory","Source coding theorem"
"Mathematical Foundations","Information Theory","Channel capacity and noisy channel coding"
"Mathematical Foundations","Information Theory","Rate-distortion theory"
"Mathematical Foundations","Information Theory","Minimum description length"
"Mathematical Foundations","Information Theory","Variational bounds (ELBO)"
"Mathematical Foundations","Optimization Theory","Convex sets and convex functions"
"Mathematical Foundations","Optimization Theory","Convex optimization"
"Mathematical Foundations","Optimization Theory","Non-convex optimization landscapes"
"Mathematical Foundations","Optimization Theory","Lagrangian duality"
"Mathematical Foundations","Optimization Theory","Karush-Kuhn-Tucker (KKT) conditions"
"Mathematical Foundations","Optimization Theory","Constrained vs unconstrained optimization"
"Mathematical Foundations","Optimization Theory","Linear, quadratic, and semidefinite programming"
"Mathematical Foundations","Optimization Theory","Gradient descent and variants"
"Mathematical Foundations","Optimization Theory","Stochastic Gradient Descent (SGD) and minibatch SGD"
"Mathematical Foundations","Optimization Theory","Momentum, Nesterov momentum"
"Mathematical Foundations","Optimization Theory","Adaptive methods (Adagrad, RMSprop, Adam, AdamW, AdaBelief, Lion, Sophia, Shampoo)"
"Mathematical Foundations","Optimization Theory","Second-order methods (Newton, quasi-Newton, BFGS, L-BFGS, K-FAC)"
"Mathematical Foundations","Optimization Theory","Proximal methods, ADMM"
"Mathematical Foundations","Optimization Theory","Coordinate descent"
"Mathematical Foundations","Optimization Theory","Trust region methods"
"Mathematical Foundations","Optimization Theory","Line search methods"
"Mathematical Foundations","Optimization Theory","Saddle points and escape strategies"
"Mathematical Foundations","Optimization Theory","Loss landscape geometry"
"Mathematical Foundations","Optimization Theory","Conditioning and preconditioning"
"Mathematical Foundations","Optimization Theory","Convergence analysis and rates"
"Mathematical Foundations","Optimization Theory","Mirror descent and natural gradient"
"Mathematical Foundations","Optimization Theory","Bayesian optimization"
"Mathematical Foundations","Optimization Theory","Evolutionary strategies and CMA-ES"
"Mathematical Foundations","Numerical Methods","Floating-point representation (FP64, FP32, FP16, BF16, FP8, FP4)"
"Mathematical Foundations","Numerical Methods","Numerical stability and conditioning"
"Mathematical Foundations","Numerical Methods","Condition numbers"
"Mathematical Foundations","Numerical Methods","Catastrophic cancellation"
"Mathematical Foundations","Numerical Methods","Forward/backward error analysis"
"Mathematical Foundations","Numerical Methods","Numerical integration (quadrature)"
"Mathematical Foundations","Numerical Methods","Numerical solution of linear systems"
"Mathematical Foundations","Numerical Methods","Iterative methods (Jacobi, Gauss-Seidel, conjugate gradient)"
"Mathematical Foundations","Numerical Methods","Numerical differentiation"
"Mathematical Foundations","Numerical Methods","Root finding"
"Mathematical Foundations","Numerical Methods","Stochastic numerical methods"
"Mathematical Foundations","Discrete Mathematics","Set theory"
"Mathematical Foundations","Discrete Mathematics","Logic and propositional/predicate calculus"
"Mathematical Foundations","Discrete Mathematics","Combinatorics and counting"
"Mathematical Foundations","Discrete Mathematics","Permutations and combinations"
"Mathematical Foundations","Discrete Mathematics","Graph theory (directed, undirected, weighted, trees, DAGs)"
"Mathematical Foundations","Discrete Mathematics","Graph algorithms (BFS, DFS, shortest paths, MST, flows)"
"Mathematical Foundations","Discrete Mathematics","Spectral graph theory"
"Mathematical Foundations","Discrete Mathematics","Boolean algebra"
"Mathematical Foundations","Discrete Mathematics","Recurrence relations"
"Mathematical Foundations","Discrete Mathematics","Generating functions"
"Mathematical Foundations","Discrete Mathematics","Number theory basics"
"Mathematical Foundations","Differential Equations","Ordinary differential equations (ODEs)"
"Mathematical Foundations","Differential Equations","Numerical ODE solvers (Euler, Runge-Kutta, adaptive solvers)"
"Mathematical Foundations","Differential Equations","Partial differential equations (PDEs)"
"Mathematical Foundations","Differential Equations","Stochastic differential equations (SDEs)"
"Mathematical Foundations","Differential Equations","Neural ODEs and continuous-depth models"
"Mathematical Foundations","Differential Equations","Diffusion equation and Fokker-Planck"
"Mathematical Foundations","Functional Analysis","Metric spaces, Banach spaces, Hilbert spaces"
"Mathematical Foundations","Functional Analysis","Function spaces (L2, Sobolev)"
"Mathematical Foundations","Functional Analysis","Operator theory"
"Mathematical Foundations","Functional Analysis","Reproducing Kernel Hilbert Spaces (RKHS)"
"Mathematical Foundations","Functional Analysis","Spectral theory of operators"
"Mathematical Foundations","Functional Analysis","Distributions and generalized functions"
"Mathematical Foundations","Measure Theory","Sigma-algebras and measurable spaces"
"Mathematical Foundations","Measure Theory","Lebesgue measure and integration"
"Mathematical Foundations","Measure Theory","Radon-Nikodym derivative"
"Mathematical Foundations","Measure Theory","Probability as measure theory"
"Mathematical Foundations","Measure Theory","Convergence theorems (monotone, dominated)"
"Mathematical Foundations","Stochastic Processes","Markov chains (discrete and continuous)"
"Mathematical Foundations","Stochastic Processes","Hidden Markov Models"
"Mathematical Foundations","Stochastic Processes","Markov Chain Monte Carlo (MCMC)"
"Mathematical Foundations","Stochastic Processes","Metropolis-Hastings, Gibbs sampling, HMC, NUTS"
"Mathematical Foundations","Stochastic Processes","Brownian motion and Wiener processes"
"Mathematical Foundations","Stochastic Processes","Ito calculus"
"Mathematical Foundations","Stochastic Processes","Poisson processes"
"Mathematical Foundations","Stochastic Processes","Martingales"
"Mathematical Foundations","Stochastic Processes","Stochastic differential equations for diffusion models"
"Mathematical Foundations","Stochastic Processes","Score-based generative modeling foundations"
"Mathematical Foundations","Game Theory","Normal-form games and extensive-form games"
"Mathematical Foundations","Game Theory","Nash equilibrium"
"Mathematical Foundations","Game Theory","Minimax theorem"
"Mathematical Foundations","Game Theory","Zero-sum and general-sum games"
"Mathematical Foundations","Game Theory","Cooperative game theory"
"Mathematical Foundations","Game Theory","Mechanism design basics"
"Mathematical Foundations","Game Theory","Multi-agent decision theory"
"Mathematical Foundations","Game Theory","Game-theoretic foundations of GANs"
"Mathematical Foundations","Game Theory","Multi-agent reinforcement learning foundations"
"Mathematical Foundations","Topology and Differential Geometry","Manifolds and tangent spaces"
"Mathematical Foundations","Topology and Differential Geometry","Riemannian geometry"
"Mathematical Foundations","Topology and Differential Geometry","Lie groups and Lie algebras"
"Mathematical Foundations","Topology and Differential Geometry","Group theory (symmetry, equivariance)"
"Mathematical Foundations","Topology and Differential Geometry","Information geometry"
"Programming and Tools","Python Ecosystem","Python language (advanced features, generators, decorators, context managers, async)"
"Programming and Tools","Python Ecosystem","Type hints and typing module"
"Programming and Tools","Python Ecosystem","NumPy"
"Programming and Tools","Python Ecosystem","Pandas"
"Programming and Tools","Python Ecosystem","Matplotlib, Seaborn, Plotly"
"Programming and Tools","Python Ecosystem","SciPy"
"Programming and Tools","Python Ecosystem","Scikit-learn"
"Programming and Tools","Python Ecosystem","Jupyter, IPython, JupyterLab"
"Programming and Tools","Python Ecosystem","Hugging Face ecosystem (transformers, datasets, tokenizers, accelerate, PEFT, TRL, evaluate)"
"Programming and Tools","Python Ecosystem","einops"
"Programming and Tools","Deep Learning Frameworks","PyTorch (autograd, nn, optim, distributed)"
"Programming and Tools","Deep Learning Frameworks","PyTorch Lightning"
"Programming and Tools","Deep Learning Frameworks","TensorFlow and Keras"
"Programming and Tools","Deep Learning Frameworks","JAX, Flax, Haiku, Equinox"
"Programming and Tools","Deep Learning Frameworks","ONNX"
"Programming and Tools","Deep Learning Frameworks","TorchScript and torch.compile"
"Programming and Tools","Deep Learning Frameworks","Triton (OpenAI Python kernel DSL)"
"Programming and Tools","GPU and Hardware Programming","CUDA programming model"
"Programming and Tools","GPU and Hardware Programming","cuBLAS, cuDNN, CUTLASS"
"Programming and Tools","GPU and Hardware Programming","Triton kernels"
"Programming and Tools","GPU and Hardware Programming","NCCL communication library"
"Programming and Tools","GPU and Hardware Programming","Memory hierarchy (registers, shared, L1/L2, HBM)"
"Programming and Tools","GPU and Hardware Programming","Tensor cores and warp-level primitives"
"Programming and Tools","GPU and Hardware Programming","Mixed precision and tensor core programming"
"Programming and Tools","GPU and Hardware Programming","Profilers (Nsight, NVProf, PyTorch Profiler)"
"Programming and Tools","GPU and Hardware Programming","ROCm/HIP for AMD GPUs"
"Programming and Tools","GPU and Hardware Programming","TPU programming via JAX/XLA"
"Programming and Tools","Distributed Computing Frameworks","Ray, Ray Train, Ray Serve, Ray Tune"
"Programming and Tools","Distributed Computing Frameworks","Dask"
"Programming and Tools","Distributed Computing Frameworks","Apache Spark / PySpark"
"Programming and Tools","Distributed Computing Frameworks","Hadoop / HDFS"
"Programming and Tools","Distributed Computing Frameworks","MPI"
"Programming and Tools","Version Control and Experiment Tracking","Git, GitHub/GitLab workflows"
"Programming and Tools","Version Control and Experiment Tracking","Git LFS"
"Programming and Tools","Version Control and Experiment Tracking","DVC (Data Version Control)"
"Programming and Tools","Version Control and Experiment Tracking","MLflow"
"Programming and Tools","Version Control and Experiment Tracking","Weights & Biases"
"Programming and Tools","Version Control and Experiment Tracking","TensorBoard"
"Programming and Tools","Version Control and Experiment Tracking","Neptune.ai, Comet"
"Programming and Tools","Version Control and Experiment Tracking","Hydra and OmegaConf for configuration"
"Programming and Tools","Data Engineering Tools","Apache Spark"
"Programming and Tools","Data Engineering Tools","Apache Beam"
"Programming and Tools","Data Engineering Tools","Apache Arrow / Parquet"
"Programming and Tools","Data Engineering Tools","Apache Kafka"
"Programming and Tools","Data Engineering Tools","Airflow / Prefect / Dagster"
"Programming and Tools","Data Engineering Tools","SQL and NoSQL databases"
"Programming and Tools","Data Engineering Tools","Object stores (S3, GCS)"
"Programming and Tools","Containerization and Deployment","Docker"
"Programming and Tools","Containerization and Deployment","Kubernetes"
"Programming and Tools","Containerization and Deployment","Helm"
"Programming and Tools","Containerization and Deployment","Serverless GPUs"
"Programming and Tools","Containerization and Deployment","CI/CD (GitHub Actions, Jenkins)"
"Programming and Tools","C++ for ML Systems","Modern C++ (C++17/20)"
"Programming and Tools","C++ for ML Systems","Templates and metaprogramming"
"Programming and Tools","C++ for ML Systems","Memory management"
"Programming and Tools","C++ for ML Systems","PyTorch C++ frontend (LibTorch)"
"Programming and Tools","C++ for ML Systems","Custom CUDA C++ extensions"
"Programming and Tools","C++ for ML Systems","pybind11"
"Programming and Tools","Software Engineering for ML","Testing (pytest, hypothesis)"
"Programming and Tools","Software Engineering for ML","Profiling and benchmarking"
"Programming and Tools","Software Engineering for ML","Logging and observability"
"Programming and Tools","Software Engineering for ML","Code style, linting, formatting"
"Programming and Tools","Software Engineering for ML","Reproducibility practices"
"Classical Machine Learning","ML Foundations","Learning paradigms (supervised, unsupervised, semi-supervised, self-supervised, reinforcement)"
"Classical Machine Learning","ML Foundations","Hypothesis space, inductive bias"
"Classical Machine Learning","ML Foundations","Empirical risk minimization"
"Classical Machine Learning","ML Foundations","PAC learning and VC dimension"
"Classical Machine Learning","ML Foundations","Bias-variance tradeoff"
"Classical Machine Learning","ML Foundations","Overfitting, underfitting, generalization"
"Classical Machine Learning","ML Foundations","Cross-validation strategies"
"Classical Machine Learning","ML Foundations","Feature engineering and selection"
"Classical Machine Learning","ML Foundations","Curse of dimensionality"
"Classical Machine Learning","ML Foundations","No free lunch theorem"
"Classical Machine Learning","Supervised Learning","Linear regression"
"Classical Machine Learning","Supervised Learning","Polynomial regression"
"Classical Machine Learning","Supervised Learning","Ridge regression"
"Classical Machine Learning","Supervised Learning","Lasso regression"
"Classical Machine Learning","Supervised Learning","Elastic Net"
"Classical Machine Learning","Supervised Learning","Logistic regression (binary and multinomial)"
"Classical Machine Learning","Supervised Learning","Probit regression"
"Classical Machine Learning","Supervised Learning","Generalized linear models"
"Classical Machine Learning","Supervised Learning","Linear and Quadratic Discriminant Analysis"
"Classical Machine Learning","Supervised Learning","k-Nearest Neighbors"
"Classical Machine Learning","Supervised Learning","Naive Bayes (Gaussian, Multinomial, Bernoulli)"
"Classical Machine Learning","Supervised Learning","Decision trees (ID3, C4.5, CART)"
"Classical Machine Learning","Supervised Learning","Random forests"
"Classical Machine Learning","Supervised Learning","Extra Trees"
"Classical Machine Learning","Supervised Learning","Gradient boosting machines"
"Classical Machine Learning","Supervised Learning","XGBoost"
"Classical Machine Learning","Supervised Learning","LightGBM"
"Classical Machine Learning","Supervised Learning","CatBoost"
"Classical Machine Learning","Supervised Learning","Support Vector Machines (linear, kernel, soft-margin)"
"Classical Machine Learning","Supervised Learning","Kernel methods and the kernel trick"
"Classical Machine Learning","Supervised Learning","Gaussian Processes"
"Classical Machine Learning","Supervised Learning","Bayesian linear/logistic regression"
"Classical Machine Learning","Supervised Learning","Perceptron algorithm"
"Classical Machine Learning","Ensemble Methods","Bagging"
"Classical Machine Learning","Ensemble Methods","Boosting (AdaBoost, gradient boosting)"
"Classical Machine Learning","Ensemble Methods","Stacking"
"Classical Machine Learning","Ensemble Methods","Voting (hard/soft)"
"Classical Machine Learning","Ensemble Methods","Blending"
"Classical Machine Learning","Ensemble Methods","Snapshot ensembles"
"Classical Machine Learning","Clustering","K-means, K-medoids, K-means++"
"Classical Machine Learning","Clustering","Hierarchical clustering (agglomerative, divisive)"
"Classical Machine Learning","Clustering","DBSCAN, OPTICS, HDBSCAN"
"Classical Machine Learning","Clustering","Gaussian Mixture Models (EM algorithm)"
"Classical Machine Learning","Clustering","Spectral clustering"
"Classical Machine Learning","Clustering","Mean shift"
"Classical Machine Learning","Clustering","Affinity propagation"
"Classical Machine Learning","Dimensionality Reduction","PCA, kernel PCA, probabilistic PCA"
"Classical Machine Learning","Dimensionality Reduction","ICA"
"Classical Machine Learning","Dimensionality Reduction","LDA (Linear Discriminant Analysis)"
"Classical Machine Learning","Dimensionality Reduction","t-SNE"
"Classical Machine Learning","Dimensionality Reduction","UMAP"
"Classical Machine Learning","Dimensionality Reduction","MDS, Isomap, LLE"
"Classical Machine Learning","Dimensionality Reduction","Random projections"
"Classical Machine Learning","Dimensionality Reduction","Autoencoders for dimensionality reduction"
"Classical Machine Learning","Dimensionality Reduction","Matrix factorization (NMF, SVD-based)"
"Classical Machine Learning","Anomaly Detection","Isolation Forest"
"Classical Machine Learning","Anomaly Detection","One-class SVM"
"Classical Machine Learning","Anomaly Detection","Local Outlier Factor"
"Classical Machine Learning","Anomaly Detection","Autoencoder-based anomaly detection"
"Classical Machine Learning","Other Unsupervised Methods","Association rule learning (Apriori, FP-growth)"
"Classical Machine Learning","Other Unsupervised Methods","Density estimation (KDE, parametric)"
"Classical Machine Learning","Other Unsupervised Methods","Topic modeling (LDA, NMF)"
"Classical Machine Learning","Probabilistic Graphical Models","Bayesian networks"
"Classical Machine Learning","Probabilistic Graphical Models","Markov random fields"
"Classical Machine Learning","Probabilistic Graphical Models","Conditional random fields"
"Classical Machine Learning","Probabilistic Graphical Models","Inference (variable elimination, belief propagation, junction tree)"
"Classical Machine Learning","Probabilistic Graphical Models","Approximate inference (MCMC, variational)"
"Classical Machine Learning","Probabilistic Graphical Models","Structure learning"
"Classical Machine Learning","Semi-Supervised Learning","Self-training and pseudo-labeling"
"Classical Machine Learning","Semi-Supervised Learning","Co-training"
"Classical Machine Learning","Semi-Supervised Learning","Graph-based semi-supervised methods"
"Classical Machine Learning","Semi-Supervised Learning","Consistency regularization (FixMatch, MixMatch)"
"Classical Machine Learning","Self-Supervised Learning Foundations","Pretext tasks"
"Classical Machine Learning","Self-Supervised Learning Foundations","Contrastive learning principles"
"Classical Machine Learning","Self-Supervised Learning Foundations","Predictive learning principles"
"Classical Machine Learning","Reinforcement Learning","Markov Decision Processes"
"Classical Machine Learning","Reinforcement Learning","Bellman equations"
"Classical Machine Learning","Reinforcement Learning","Dynamic programming (policy iteration, value iteration)"
"Classical Machine Learning","Reinforcement Learning","Monte Carlo methods"
"Classical Machine Learning","Reinforcement Learning","Temporal difference learning"
"Classical Machine Learning","Reinforcement Learning","Q-learning, SARSA, Expected SARSA"
"Classical Machine Learning","Reinforcement Learning","Function approximation in RL"
"Classical Machine Learning","Reinforcement Learning","Deep Q-Networks (DQN, Double DQN, Dueling DQN, Rainbow)"
"Classical Machine Learning","Reinforcement Learning","Policy gradient theorem"
"Classical Machine Learning","Reinforcement Learning","REINFORCE"
"Classical Machine Learning","Reinforcement Learning","Actor-critic methods"
"Classical Machine Learning","Reinforcement Learning","A2C, A3C"
"Classical Machine Learning","Reinforcement Learning","TRPO, PPO"
"Classical Machine Learning","Reinforcement Learning","DDPG, TD3"
"Classical Machine Learning","Reinforcement Learning","Soft Actor-Critic (SAC)"
"Classical Machine Learning","Reinforcement Learning","Distributional RL (C51, QR-DQN)"
"Classical Machine Learning","Reinforcement Learning","Model-based RL (Dyna, MuZero, Dreamer)"
"Classical Machine Learning","Reinforcement Learning","World models for RL"
"Classical Machine Learning","Reinforcement Learning","Exploration strategies (epsilon-greedy, UCB, Thompson sampling, intrinsic motivation, RND)"
"Classical Machine Learning","Reinforcement Learning","Multi-agent RL (MADDPG, QMIX, self-play)"
"Classical Machine Learning","Reinforcement Learning","Inverse RL"
"Classical Machine Learning","Reinforcement Learning","Imitation learning and behavior cloning"
"Classical Machine Learning","Reinforcement Learning","DAgger"
"Classical Machine Learning","Reinforcement Learning","Hierarchical RL"
"Classical Machine Learning","Reinforcement Learning","Offline / batch RL (CQL, IQL, AWR)"
"Classical Machine Learning","Reinforcement Learning","Goal-conditioned RL"
"Classical Machine Learning","Reinforcement Learning","Reward shaping"
"Classical Machine Learning","Reinforcement Learning","RLHF (Reinforcement Learning from Human Feedback)"
"Classical Machine Learning","Reinforcement Learning","RLAIF (Reinforcement Learning from AI Feedback)"
"Classical Machine Learning","Reinforcement Learning","RLVR (Reinforcement Learning with Verifiable Rewards)"
"Classical Machine Learning","Reinforcement Learning","GRPO, DAPO, REINFORCE++"
"Classical Machine Learning","Other Learning Paradigms","Online learning and regret minimization"
"Classical Machine Learning","Other Learning Paradigms","Multi-armed bandits, contextual bandits"
"Classical Machine Learning","Other Learning Paradigms","Active learning"
"Classical Machine Learning","Other Learning Paradigms","Transfer learning"
"Classical Machine Learning","Other Learning Paradigms","Domain adaptation"
"Classical Machine Learning","Other Learning Paradigms","Meta-learning (MAML, Reptile, ProtoNets)"
"Classical Machine Learning","Other Learning Paradigms","Few-shot, one-shot, zero-shot learning"
"Classical Machine Learning","Other Learning Paradigms","Curriculum learning"
"Classical Machine Learning","Other Learning Paradigms","Continual / lifelong learning"
"Classical Machine Learning","Other Learning Paradigms","Federated learning"
"Deep Learning Fundamentals","Artificial Neural Networks","Biological inspiration and history"
"Deep Learning Fundamentals","Artificial Neural Networks","Perceptron and multilayer perceptron (MLP)"
"Deep Learning Fundamentals","Artificial Neural Networks","Universal approximation theorem"
"Deep Learning Fundamentals","Artificial Neural Networks","Forward and backward propagation"
"Deep Learning Fundamentals","Artificial Neural Networks","Computational graphs"
"Deep Learning Fundamentals","Artificial Neural Networks","Automatic differentiation (forward and reverse mode)"
"Deep Learning Fundamentals","Artificial Neural Networks","Skip / residual connections"
"Deep Learning Fundamentals","Activation Functions","Sigmoid"
"Deep Learning Fundamentals","Activation Functions","Tanh"
"Deep Learning Fundamentals","Activation Functions","ReLU"
"Deep Learning Fundamentals","Activation Functions","Leaky ReLU, PReLU"
"Deep Learning Fundamentals","Activation Functions","ELU, SELU"
"Deep Learning Fundamentals","Activation Functions","GELU"
"Deep Learning Fundamentals","Activation Functions","Swish / SiLU"
"Deep Learning Fundamentals","Activation Functions","Mish"
"Deep Learning Fundamentals","Activation Functions","Softplus"
"Deep Learning Fundamentals","Activation Functions","Softmax"
"Deep Learning Fundamentals","Activation Functions","Output layers for classification/regression"
"Deep Learning Fundamentals","Loss Functions","MSE, MAE, Huber"
"Deep Learning Fundamentals","Loss Functions","Cross-entropy (binary, categorical, sparse categorical)"
"Deep Learning Fundamentals","Loss Functions","Hinge loss"
"Deep Learning Fundamentals","Loss Functions","Focal loss"
"Deep Learning Fundamentals","Loss Functions","Contrastive loss"
"Deep Learning Fundamentals","Loss Functions","Triplet loss"
"Deep Learning Fundamentals","Loss Functions","InfoNCE"
"Deep Learning Fundamentals","Loss Functions","CTC loss"
"Deep Learning Fundamentals","Loss Functions","Wasserstein loss"
"Deep Learning Fundamentals","Loss Functions","Custom and composite losses"
"Deep Learning Fundamentals","Weight Initialization","Xavier / Glorot initialization"
"Deep Learning Fundamentals","Weight Initialization","He / Kaiming initialization"
"Deep Learning Fundamentals","Weight Initialization","Orthogonal initialization"
"Deep Learning Fundamentals","Weight Initialization","LSUV initialization"
"Deep Learning Fundamentals","Regularization","L1 regularization"
"Deep Learning Fundamentals","Regularization","L2 regularization (weight decay)"
"Deep Learning Fundamentals","Regularization","Dropout"
"Deep Learning Fundamentals","Regularization","DropConnect"
"Deep Learning Fundamentals","Regularization","DropPath / Stochastic Depth"
"Deep Learning Fundamentals","Regularization","Early stopping"
"Deep Learning Fundamentals","Regularization","Data augmentation"
"Deep Learning Fundamentals","Regularization","Label smoothing"
"Deep Learning Fundamentals","Regularization","Mixup, CutMix, Manifold Mixup"
"Deep Learning Fundamentals","Normalization","Batch Normalization"
"Deep Learning Fundamentals","Normalization","Layer Normalization"
"Deep Learning Fundamentals","Normalization","Instance Normalization"
"Deep Learning Fundamentals","Normalization","Group Normalization"
"Deep Learning Fundamentals","Normalization","RMSNorm"
"Deep Learning Fundamentals","Normalization","Weight Normalization"
"Deep Learning Fundamentals","Normalization","Spectral Normalization"
"Deep Learning Fundamentals","Optimization Algorithms (DL)","SGD with momentum / Nesterov"
"Deep Learning Fundamentals","Optimization Algorithms (DL)","Adagrad, Adadelta, RMSprop"
"Deep Learning Fundamentals","Optimization Algorithms (DL)","Adam, AdamW, NAdam, AMSGrad"
"Deep Learning Fundamentals","Optimization Algorithms (DL)","Lion, Sophia, Shampoo"
"Deep Learning Fundamentals","Optimization Algorithms (DL)","LARS, LAMB"
"Deep Learning Fundamentals","Optimization Algorithms (DL)","Lookahead, RAdam"
"Deep Learning Fundamentals","Learning Rate Scheduling","Step decay, exponential decay"
"Deep Learning Fundamentals","Learning Rate Scheduling","Cosine annealing, cosine with warm restarts"
"Deep Learning Fundamentals","Learning Rate Scheduling","Linear warmup"
"Deep Learning Fundamentals","Learning Rate Scheduling","1cycle policy"
